# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
5.000000e-03	6.132826e+07	0.000000e+00	3.066413e-02	1.236224e+01	6.592788e-02	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.496983e-06	3.720519e-05	1.232732e-06	2.144639e+02	2.281730e+03	7.560131e+01	
1.000000e-02	1.224626e+08	1.533207e+05	6.123129e-02	1.241974e+01	1.316473e-01	2.150000e+00	4.796148e-02	0.000000e+00	0.000000e+00	0.000000e+00	5.234476e-06	5.569077e-05	1.845221e-06	6.410274e+02	6.820035e+03	2.259705e+02	
1.500000e-02	1.834035e+08	4.447934e+05	9.170174e-02	1.247410e+01	1.971587e-01	2.150000e+00	7.392245e-02	0.000000e+00	0.000000e+00	0.000000e+00	6.964959e-06	7.410177e-05	2.455239e-06	1.277398e+03	1.359052e+04	4.502993e+02	
2.000000e-02	2.441515e+08	8.694080e+05	1.220758e-01	1.252737e+01	2.624629e-01	2.150000e+00	9.163345e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.688527e-06	9.243920e-05	3.062819e-06	2.121317e+03	2.256917e+04	7.477919e+02	
2.500000e-02	3.047073e+08	1.423856e+06	1.523537e-01	1.257988e+01	3.275603e-01	2.150000e+00	1.050161e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.040526e-05	1.107039e-04	3.667988e-06	3.170558e+03	3.373228e+04	1.117663e+03	
3.000000e-02	3.650713e+08	2.105626e+06	1.825357e-01	1.263179e+01	3.924517e-01	2.150000e+00	1.157354e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.211521e-05	1.288965e-04	4.270769e-06	4.422916e+03	4.705640e+04	1.559135e+03	
3.500000e-02	4.252441e+08	2.912675e+06	2.126221e-01	1.268320e+01	4.571375e-01	2.150000e+00	1.246530e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.381845e-05	1.470176e-04	4.871182e-06	5.876214e+03	6.251836e+04	2.071442e+03	
4.000000e-02	4.852263e+08	3.843266e+06	2.426132e-01	1.273416e+01	5.216183e-01	2.150000e+00	1.322722e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.551502e-05	1.650678e-04	5.469246e-06	7.528295e+03	8.009523e+04	2.653822e+03	
4.500000e-02	5.450184e+08	4.895877e+06	2.725092e-01	1.278473e+01	5.858948e-01	2.150000e+00	1.389123e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.720497e-05	1.830476e-04	6.064976e-06	9.377026e+03	9.976429e+04	3.305524e+03	
5.000000e-02	6.046209e+08	6.069148e+06	3.023105e-01	1.283493e+01	6.499675e-01	2.150000e+00	1.447987e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.891614e-05	2.009574e-04	6.658534e-06	1.143709e+04	1.215031e+05	4.025889e+03	
