# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
5.000000e-03	4.850630e+07	0.000000e+00	2.425315e-02	9.777657e+00	5.214427e-02	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.496983e-06	3.720519e-05	1.232732e-06	1.696257e+02	1.804686e+03	5.979527e+01	
1.000000e-02	9.685919e+07	1.212657e+05	4.842960e-02	9.823132e+00	1.041236e-01	2.150000e+00	4.796148e-02	0.000000e+00	0.000000e+00	0.000000e+00	5.234476e-06	5.569077e-05	1.845221e-06	5.070071e+02	5.394163e+03	1.787266e+02	
1.500000e-02	1.450591e+08	3.518000e+05	7.252956e-02	9.866131e+00	1.559386e-01	2.150000e+00	7.392245e-02	0.000000e+00	0.000000e+00	0.000000e+00	6.964959e-06	7.410177e-05	2.455239e-06	1.010331e+03	1.074914e+04	3.561548e+02	
2.000000e-02	1.931065e+08	6.876399e+05	9.655326e-02	9.908261e+00	2.075895e-01	2.150000e+00	9.163345e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.688527e-06	9.243920e-05	3.062819e-06	1.677811e+03	1.785061e+04	5.914503e+02	
2.500000e-02	2.410018e+08	1.126169e+06	1.205009e-01	9.949792e+00	2.590770e-01	2.150000e+00	1.050161e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.040526e-05	1.107039e-04	3.667988e-06	2.507686e+03	2.667983e+04	8.839919e+02	
3.000000e-02	2.887455e+08	1.665401e+06	1.443727e-01	9.990850e+00	3.104014e-01	2.150000e+00	1.157354e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.211521e-05	1.288965e-04	4.270769e-06	3.498212e+03	3.721827e+04	1.233165e+03	
3.500000e-02	3.363379e+08	2.303719e+06	1.681690e-01	1.003151e+01	3.615633e-01	2.150000e+00	1.246530e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.381845e-05	1.470176e-04	4.871182e-06	4.647668e+03	4.944758e+04	1.638363e+03	
4.000000e-02	3.837795e+08	3.039750e+06	1.918898e-01	1.007182e+01	4.125630e-01	2.150000e+00	1.322722e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.551502e-05	1.650678e-04	5.469246e-06	5.954347e+03	6.334964e+04	2.098985e+03	
4.500000e-02	4.310708e+08	3.872291e+06	2.155354e-01	1.011181e+01	4.634011e-01	2.150000e+00	1.389123e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.720497e-05	1.830476e-04	6.064976e-06	7.416561e+03	7.890647e+04	2.614434e+03	
5.000000e-02	4.782122e+08	4.800265e+06	2.391061e-01	1.015152e+01	5.140781e-01	2.150000e+00	1.447987e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.888907e-05	2.009574e-04	6.658394e-06	9.032984e+03	9.610030e+04	3.184125e+03	
