# COLUMN NUMBERS: 
#	0: time [Gyr]
#	1: mgas [Msun]			ISM gas mass
#	2: mstar [Msun]			Stellar mass
#	3: sfr [Msun/yr]		Star formation rate
#	4: ifr [Msun/yr]		Infall rate
#	5: ofr [Msun/yr]		Outfow rate
#	6: eta_0			Mass-loading factor
#	7: r_eff			Effective recycilng rate
#	8: z_in(fe)			Inflow fe metallicity
#	9: z_in(o)			Inflow o metallicity
#	10: z_in(mg)			Inflow mg metallicity
#	11: z_out(fe)			Outflow fe metallicity
#	12: z_out(o)			Outflow o metallicity
#	13: z_out(mg)			Outflow mg metallicity
#	14: mass(fe) [Msun]		mass of element fe in ISM
#	15: mass(o) [Msun]		mass of element o in ISM
#	16: mass(mg) [Msun]		mass of element mg in ISM
0.000000e+00	1.000000e-12	0.000000e+00	0.000000e+00	nan	0.000000e+00	2.150000e+00	-nan	0.000000e+00	0.000000e+00	0.000000e+00	-nan	-nan	-nan	0.000000e+00	0.000000e+00	0.000000e+00	
5.000000e-03	4.850394e+07	0.000000e+00	2.425197e-02	9.777182e+00	5.214174e-02	2.150000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.472485e-06	3.720519e-05	1.232732e-06	1.684292e+02	1.804598e+03	5.979236e+01	
1.000000e-02	9.685448e+07	1.212598e+05	4.842724e-02	9.822654e+00	1.041186e-01	2.150000e+00	4.796148e-02	0.000000e+00	0.000000e+00	0.000000e+00	5.197805e-06	5.569077e-05	1.845221e-06	5.034307e+02	5.393901e+03	1.787179e+02	
1.500000e-02	1.450521e+08	3.517828e+05	7.252603e-02	9.865651e+00	1.559310e-01	2.150000e+00	7.392245e-02	0.000000e+00	0.000000e+00	0.000000e+00	6.916165e-06	7.410177e-05	2.455239e-06	1.003204e+03	1.074861e+04	3.561374e+02	
2.000000e-02	1.930971e+08	6.876065e+05	9.654856e-02	9.907779e+00	2.075794e-01	2.150000e+00	9.163345e-02	0.000000e+00	0.000000e+00	0.000000e+00	8.627659e-06	9.243920e-05	3.062819e-06	1.665976e+03	1.784974e+04	5.914215e+02	
2.500000e-02	2.409901e+08	1.126114e+06	1.204950e-01	9.949308e+00	2.590644e-01	2.150000e+00	1.050161e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.033236e-05	1.107039e-04	3.667988e-06	2.489997e+03	2.667854e+04	8.839488e+02	
3.000000e-02	2.887314e+08	1.665320e+06	1.443657e-01	9.990364e+00	3.103863e-01	2.150000e+00	1.157354e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.203034e-05	1.288965e-04	4.270769e-06	3.473536e+03	3.721646e+04	1.233105e+03	
3.500000e-02	3.363215e+08	2.303607e+06	1.681608e-01	1.003102e+01	3.615457e-01	2.150000e+00	1.246530e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.372164e-05	1.470176e-04	4.871182e-06	4.614883e+03	4.944518e+04	1.638284e+03	
4.000000e-02	3.837609e+08	3.039602e+06	1.918804e-01	1.007133e+01	4.125429e-01	2.150000e+00	1.322722e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.540633e-05	1.650678e-04	5.469246e-06	5.912345e+03	6.334655e+04	2.098882e+03	
4.500000e-02	4.310499e+08	3.872102e+06	2.155249e-01	1.011132e+01	4.633786e-01	2.150000e+00	1.389123e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.708444e-05	1.830476e-04	6.064976e-06	7.364245e+03	7.890263e+04	2.614307e+03	
5.000000e-02	4.781889e+08	4.800031e+06	2.390945e-01	1.015102e+01	5.140531e-01	2.150000e+00	1.447987e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.875675e-05	2.009574e-04	6.658394e-06	8.969268e+03	9.609563e+04	3.183970e+03	
